Dog Shelter Intake Data - Q1 2025 Records with Pricing and Owner Info
Last updated 2025-03-31
---

name,breed,age,color,price,insured,intake_date,sale_date,new owner
Düke II,Afghan Hound,-4,Golden,820.00,1,2023-04-29,07/02-2023,Héloïse Lefebvre
Echo,American Foxhound,2,White,470.50,0,2023-05-15,08/08-2023,Seán Walsh
Flora,German Shepherd,5,Fawn,870.00,1,2023-06-28,09/27-2023,Élise Roy
Gizmo,German Shepherd,3,Black and Tan,750.75,1,2023-07-03,10/06-2023,Müller Schmidt
Hazel,German Shepherd,6,Black and Tan,530.00,0,2023-08-17,11/21-2023,Björk Ólafsdóttir
Indie,Whippet,4,White and Black,950.25,1,2023-09-30,12/26-2023,René Andersen
Kíwi,Whippet,2,Fawn,800.00,0,2023-10-11,01/11-2024,Chloé Dubois
Chip,Labrador Retriever,1,Chocolate,500.00,1,2023-11-25,02/29-2024,Michael Brown
Sky,Golden Retriever,0,Golden,600.50,1,2023-12-07,03/05-2024,Jennifer Davis
Rusty,German Shepherd,8,Sable,580.00,0,2024-01-14,,
Coco Chanel,Poodle,4,Black,850.75,1,2024-02-27,,
Oscar,Beagle,7,Lemon & White,320.00,0,2023-03-01,05/03-2023,Robert Wilson
Ziggy,Boxer,1,Brindle,610.25,1,2023-04-16,06/19-2023,Linda Miller
Rex,Dachshund,-2,Black and Tan,630.00,1,2023-05-29,08/07-2023,David Anderson
Honey,Dachshund,10,Cream,410.50,0,2023-06-10,09/01-2023,Sarah Taylor
Prince,Boxer,6,White,520.00,1,2023-07-22,10/15-2023,Thomas Moore
Lady,German Shepherd,5,Red,640.75,1,2023-08-03,11/09-2023,Susan Jackson
Smokey,Boxer,3,Tan,880.00,0,2023-09-15,12/21-2023,Karen White
Sugar,Pug,1,Red and Rust,760.25,1,2023-10-28,01/29-2024,Nancy Harris
Teddy,Bernese Mountain Dog,7,White,870.00,1,2023-11-01,02/04-2024,Lisa Martin
Gigi,Pomeranian,2,Black,690.50,0,2023-12-13,03/14-2024,Betty Thompson
Benji,Bull Terrier,11,Black and Gold,540.00,1,2024-01-24,,
Fifi,French Bulldog,5,Cream,970.75,1,2024-02-08,,
Scout,Border Collie,0,Blue and White,600.00,0,2024-03-23,,
Goldie,Cavalier King Charles Spaniel,6,Ruby,840.25,1,2023-04-07,06/11-2023,Sandra Clark
Sparky,Shetland Sheepdog,8,Tan,490.00,0,2023-05-25,08/18-2023,Ashley Lewis
Snowball,Bichon Frise,1,White,620.50,1,2023-06-14,09/23-2023,Kimberly Walker
Brutus,Pug,9,Black,770.00,1,2023-07-08,10/27-2023,Donna Hall
Ash,Weimaraner,4,Gray,730.75,0,2023-08-24,11/30-2023,Carol Allen
Chase,English Springer Spaniel,6,Black and White,570.00,1,2023-09-05,12/08-2023,Paul Young
Pepper,Chihuahua,8,Fawn,440.25,0,2023-10-19,01/19-2024,Steven Hernandez
Casper,Chihuahua,10,White,610.00,1,2023-11-30,02/22-2024,Edward King
Ginger,Whippet,3,Red Gold,710.50,1,2023-12-12,03/23-2024,Brian Wright
Hank,Basset Hound,7,Black & Brown,470.00,0,2024-01-29,,
Sandy,Pointer,5,Orange and White,560.75,1,2024-02-11,,
Lucky,Dalmatian,6,White,650.00,0,2023-03-04,05/09-2023,George Scott
Duchess,Newfoundland,2,Brown,940.25,1,2023-04-19,07/17-2023,Kevin Green
Jake,Border Collie,8,White,530.00,0,2023-05-06,08/21-2023,Jason Adams
Sasha Fierce,Saint Bernard,5,White,800.50,1,2023-06-21,09/14-2023,Michelle Baker
Hercules,Saint Bernard,1,Mahogany and White,1000.00,1,2023-07-17,10/22-2023,Ronald Nelson
Precious,Cocker Spaniel,9,Parti-color,580.75,0,2023-08-29,11/03-2023,Timothy Carter
Tank,Rhodesian Ridgeback,4,Light Wheaten,750.00,1,2023-09-07,12/13-2023,Amanda Mitchell
Cherry,Whippet,1,Black and Tan,790.25,1,2023-10-14,01/14-2024,Melissa Perez
Gunner,Belgian Malinois,6,Mahogany,720.00,0,2023-11-26,02/26-2024,Gary Roberts
Arrow,Whippet,3,Fawn Brindle,660.50,1,2023-12-09,03/10-2024,Justin Turner
Clifford,Irish Setter,5,Red,680.00,1,2024-01-22,,
Patches,Whippet,8,White,590.75,,2024-02-17,,
Rascal,Jack Russell Terrier,6,Broken Coat,510.00,1,2024-03-29,,
Ghost,Jack Russel Terrier,2,Biscuit,900.25,0,2023-04-10,07/10-2023,Stephanie Phillips
Balto,Border Collie,5,Sable and White,850.00,1,2023-05-23,08/16-2023,Nicole Campbell
Pongo,Dalmatian,4,Liver and White,760.50,1,2023-06-07,09/04-2023,Ryan Parker
Zephyr,Pug,1,Gray Brindle,950.00,-99,2023-07-11,10/09-2023,Heather Evans
Fritz,Schnauzer,10,Black and Silver,630.75,1,2023-08-25,11/13-2023,Peter Edwards
Blue,Bull Terrier,6,Brindle,690.00,1,2023-09-02,12/01-2023,Cheryl Collins
Yeti,Great Pyrenees,3,Badger Markings,980.25,0,2023-10-18,01/23-2024,Jeremy Stewart
Hulk,Boston Terrier,5,Red Fawn,910.00,1,2023-11-13,02/16-2024,Megan Sanchez
Ripley,Australian Cattle Dog,2,Red Heeler,610.50,1,2023-12-27,03/27-2024,Adam Morris
Angus,Boston Terrier,8,Brindle,540.00,0,2024-01-08,,
Major,English Mastiff,4,Brindle,1020.75,1,2024-02-21,,
Star,Boston Terrier,9,Seal and White,780.00,1,2023-03-15,05/30-2023,Melissa Rogers
Bolt,German Shorthaired Pointer,1,Solid Liver,700.25,0,2023-04-28,07/25-2023,Keith Reed
Nugget,Corgi,3,Sable,810.00,1,2023-05-04,08/05-2023,Sara Cook
Captain,Portuguese Water Dog,5,White and Black,720.50,1,2023-06-19,09/17-2023,Terry Morgan
Willowisp,Corgi,6,Light Wheaten,680.00,0,2023-07-26,10/31-2023,Theresa Bell
Champ,Bull Terrier,8,Tan,560.75,1,2023-08-09,11/14-2023,Dennis Murphy
Spud,Bull Terrier,2,Red and White,730.00,0,2023-09-23,12/28-2023,Laura Bailey
Woolly,Old English Sheepdog,5,Grizzle and White,860.25,1,2023-10-07,01/09-2024,Roger Rivera
Wrinkles,Chinese Shar-Pei,7,Tan,800.00,1,2023-11-19,02/21-2024,Diana Cooper
Sherlock,Airedale Terrier,6,Tan and Black,650.50,0,2023-12-02,03/03-2024,Judith Richardson
Anubis,Basenji,1,Black and White,710.00,-99,2024-01-17,,
Chewie,Brussels Griffon,9,Beige,570.75,0,2024-02-29,,
Drake,Chesapeake Bay Retriever,5,Sedge,740.00,1,2023-03-08,05/12-2023,Randy Cox
Heidi,Greater Swiss Mountain Dog,3,"Black, Red, White",930.00,0,2023-07-21,10/26-2023,Larry Wood
Dopey,Clumber Spaniel,6,Primarily White,830.25,0,2023-04-12,06/18-2023,Russell Howard
Slick,Corgi,4,Liver,670.00,1,2023-05-28,08/24-2023,Lori Ward
Bonnie,Gordon Setter,7,Tan Points,690.50,1,2023-06-06,09/03-2023,Ann Brooks
Pharaoh,Corgi,1,Red Roan,640.75,1,2023-08-14,11/19-2023,Bonnie James
Wolfie,Irish Wolfhound,-5,Wheaten,1120.00,1,2023-09-27,12/31-2023,Victor Hughes
Fluffy,Keeshond,8,Silver,600.00,0,2023-10-10,01/12-2024,Sara Price
Mop,Whippet,4,White Corded,960.25,1,2023-11-23,02/24-2024,Gerald Bennett
Snowy,Corgi,2,White Fluffy,990.00,-99,2023-12-05,03/06-2024,Lois Barnes
Leo King,Whippet,5,Lion Yellow,1010.50,0,2024-01-20,,
Tut,Whippet,0,Reddish Tan,750.75,1,2024-03-27,,Sven Österberg


The data is computer-generated for educational purposes.
