Dog Shelter Intake Data - Q1 2025 Records with Pricing and owner Info
Last updated 2025-03-31
---

dog_id,name,breed,age,color,price,insured,intake_date,sale_date,new owner
8307,Millie,Boston Terrier,7,Black,520.00,0,2023-05-14,08/11-2023,Katarína Nováková
7283,Chance,Pug,5,Tan,1000.75,1,2023-06-30,09/09-2023,Yasuke Sato
3361,Ellie,Boston Terrier,8,Black and white,760.00,1,2023-07-05,10/01-2023,Noémie Petit
9190,Ranger,Irish Setter,2,Liver Roan,680.25,0,2023-08-16,11/10-2023,Liam O'Sullivan
5037,Peanut,Corgi,4,Red and white,790.00,1,2023-09-29,12/15-2023,Inès García
2528,Koda,Corgi,6,Black,700.50,1,2023-10-08,01/20-2024,Matthieu Lefèvre
2988,Cleo,Corgi,5,Wheaten,660.00,0,2023-11-22,02/27-2024,Aoife Byrne
3757,Jasper,Bull Terrier,7,Red,540.75,1,2023-12-04,03/08-2024,Janusz Winiewski
4297,Izzy,Bull Terrier,3,White,710.00,0,2024-01-19,,
2538,King,Irish Wolfhound,4,Blue and white,840.25,1,2024-02-23,,
5627,Princess,Irish Setter,6,Cream,780.00,1,2023-03-09,05/25-2023,Maja Vitola
2907,Shadow,Dalmatian,5,Black and tan,630.50,0,2023-04-24,07/07-2023,René Dubois
9363,Delilah,Beagle,2,Red and white,690.00,1,2023-05-02,08/13-2023,Oisín McCarthy
6702,Ace,Bull Terrier,8,Red,550.75,0,2023-06-17,09/19-2023,Eléa Moreau
5404,Frankie,Chesapeake Bay Retriever,4,Brown,720.00,1,2023-07-29,10/24-2023,Félix Bernard
7009,Georgia,Corgi,5,White and lemon,810.25,0,2023-08-05,11/08-2023,Hélène Rousseau
7157,Hunter,Corgi,3,Black,650.00,1,2023-09-18,12/23-2023,Lukasz Jankowski
3887,Ivy,Irish Setter,6,Black and tan,670.50,1,2023-10-31,01/31-2024,Michèle Lambert
2370,Juno,Pug,4,White,910.00,0,2023-11-11,02/11-2024,Björn Bergström
2627,Marley,Corgi,2,White and red,620.75,1,2023-12-26,03/20-2024,Sofía Rodríguez
4967,Növa,Irish Wolfhound,-2,Gray,1100.00,1,2024-01-06,,
5400,Oakley,Border Collie,7,Gray and black,580.00,0,2024-02-10,,
3120,Pepper,Pug,5,White,940.25,1,2024-03-21,,
4623,Queenie,Pug,3,White,970.00,1,2023-04-02,06/05-2023,Émilie Fournier
4503,Rémy,Border Collie,6,Reddish Brown,990.50,0,2023-05-19,08/01-2023,André Martins
2708,Sasha,Border Collie,4,Gray,600.00,1,2023-06-04,09/07-2023,Siobhán Doyle
7569,Thor,Border Collie,2,Tan,730.75,1,2023-07-20,10/13-2023,Javier López
4990,Uma,Whippet,5,Brindle,560.00,0,2023-08-28,11/29-2023,Zoé Simon
7853,Vader,Beagle,3,Red,590.25,1,2023-09-09,12/09-2023,Bjørn Hansen
3805,Xena,Dachshund,4,Cream,760.00,1,2023-10-23,01/25-2024,Stéphanie Laurent
4764,Yoshi,German Shepherd,6,Blue Gray,860.50,0,2023-11-06,02/08-2024,Félix Gómez
5876,Zeke,Whippet,8,Cream,640.00,1,2023-12-18,03/17-2024,Renée Moreau
4200,Max,Golden Retriever,8,Golden,500.00,1,2024-01-15,,
1761,Aspen,Afghan Hound,5,Black,1050.75,1,2024-01-30,,
8383,Bruno,Afghan Hound,3,Brown Roan,700.00,0,2024-02-03,,
3735,Cinnamon,Afghan Hound,4,Black,800.25,1,2024-03-16,,
6301,Düke II,Afghan Hound,-4,Golden,820.00,1,2023-04-29,07/02-2023,Héloïse Lefebvre
4646,Echo,Dachshund,2,White,470.50,0,2023-05-15,08/08-2023,Seán Walsh
2671,Flora,German Shepherd,5,Fawn,870.00,1,2023-06-28,09/27-2023,Élise Roy
5891,Gizmo,German Shepherd,3,Black and tan,750.75,1,2023-07-03,10/06-2023,Müller Schmidt
8662,Hazel,German Shepherd,6,Black and tan,530.00,0,2023-08-17,11/21-2023,Björk Ólafsdóttir
1391,Indie,Whippet,4,White and black,950.25,1,2023-09-30,12/26-2023,René Andersen
2102,Kíwi,Whippet,2,Fawn,800.00,0,2023-10-11,01/11-2024,Chloé Dubois
4649,Chip,Labrador Retriever,1,Chocolate,500.00,1,2023-11-25,02/29-2024,Michael Brown
3722,Sky,Golden Retriever,0,Golden,600.50,1,2023-12-07,03/05-2024,Jennifer Davis
4993,Rusty,German Shepherd,8,Sable,580.00,0,2024-01-14,,
8839,Coco Chanel,Bulldog,4,Black,850.75,1,2024-02-27,,
6596,Oscar,Beagle,7,Lemon & White,320.00,0,2023-03-01,05/03-2023,Robert Wilson
9988,Ziggy,Boxer,1,Brindle,610.25,1,2023-04-16,06/19-2023,Linda Miller
5131,Rex,Dachshund,-2,Black and tan,630.00,1,2023-05-29,08/07-2023,David Anderson
1976,Honey,Dachshund,10,Cream,410.50,0,2023-06-10,09/01-2023,Sarah Taylor
6963,Prince,Boxer,6,White,520.00,1,2023-07-22,10/15-2023,Thomas Moore
4715,Lady,German Shepherd,5,Red,640.75,1,2023-08-03,11/09-2023,Susan Jackson
3622,Smokey,Boxer,3,Tan,880.00,0,2023-09-15,12/21-2023,Karen White
2808,Sugar,Pug,1,Red and rust,760.25,1,2023-10-28,01/29-2024,Nancy Harris
2133,Teddy,Golden Retriever,7,White,870.00,1,2023-11-01,02/04-2024,Lisa Martin
4765,Gigi,Golden Retriever,2,Black,690.50,0,2023-12-13,03/14-2024,Betty Thompson
6197,Benji,Bull Terrier,11,Black and gold,540.00,1,2024-01-24,,
9323,Fifi,French Bulldog,5,Cream,970.75,1,2024-02-08,,
0009,Scout,Border Collie,0,Blue and white,600.00,0,2024-03-23,,
7066,Goldie,Pug,6,Ruby,840.25,1,2023-04-07,06/11-2023,Sandra Clark
2724,Sparky,Chihuahua,8,Tan,490.00,0,2023-05-25,08/18-2023,Ashley Lewis
2646,Snowball,Pug,1,White,620.50,1,2023-06-14,09/23-2023,Kimberly Walker
3599,Brutus,Pug,9,Black,770.00,1,2023-07-08,10/27-2023,Donna Hall
5275,Ash,Labrador Retriever,4,Gray,730.75,0,2023-08-24,11/30-2023,Carol Allen
8444,Chase,Dalmatian,6,Black and white,570.00,1,2023-09-05,12/08-2023,Paul Young
6230,Pepper,Chihuahua,8,Fawn,440.25,0,2023-10-19,01/19-2024,Steven Hernandez
5992,Casper,Chihuahua,10,White,610.00,1,2023-11-30,02/22-2024,Edward King
5379,Ginger,Whippet,3,Red Gold,710.50,1,2023-12-12,03/23-2024,Brian Wright
2463,Hank,French Bulldog,7,Black & Brown,470.00,0,2024-01-29,,
4796,Sandy,Irish Setter,5,Orange and white,560.75,1,2024-02-11,,
6338,Lucky,Dalmatian,6,White,650.00,0,2023-03-04,05/09-2023,George Scott
5700,Duchess,Labrador Retriever,2,Brown,940.25,1,2023-04-19,07/17-2023,Kevin Green
7698,Jake,Border Collie,8,White,530.00,0,2023-05-06,08/21-2023,Jason Adams
2692,Sasha Fierce,Jack Russel Terrier,5,White,800.50,1,2023-06-21,09/14-2023,Michelle Baker
6447,Hercules,Jack Russel Terrier,1,Mahogany and white,1000.00,1,2023-07-17,10/22-2023,Ronald Nelson
4653,Precious,Beagle,9,Parti-color,580.75,0,2023-08-29,11/03-2023,Timothy Carter
7173,Tank,Dalmatian,4,Light Wheaten,750.00,1,2023-09-07,12/13-2023,Amanda Mitchell
9866,Cherry,Whippet,1,Black and tan,790.25,1,2023-10-14,01/14-2024,Melissa Perez
6949,Gunner,Border Collie,6,Mahogany,720.00,0,2023-11-26,02/26-2024,Gary Roberts
4854,Arrow,Whippet,3,Fawn Brindle,660.50,1,2023-12-09,03/10-2024,Justin Turner
5497,Clifford,Irish Setter,5,Red,680.00,1,2024-01-22,,
6015,Patches,Whippet,8,White,590.75,,2024-02-17,,
1048,Rascal,Jack Russel Terrier,6,Broken Coat,510.00,1,2024-03-29,,
6092,Ghost,Jack Russel Terrier,2,Biscuit,900.25,0,2023-04-10,07/10-2023,Stephanie Phillips
4636,Balto,Border Collie,5,Sable and white,850.00,1,2023-05-23,08/16-2023,Nicole Campbell
3348,Pongo,Dalmatian,4,Liver and white,760.50,1,2023-06-07,09/04-2023,Ryan Parker
6941,Zephyr,Pug,1,Gray Brindle,950.00,-99,2023-07-11,10/09-2023,Heather Evans
5016,Fritz,Dalmatian,10,Black and silver,630.75,1,2023-08-25,11/13-2023,Peter Edwards
6684,Blue,Bull Terrier,6,Brindle,690.00,1,2023-09-02,12/01-2023,Cheryl Collins
4011,Yeti,Jack Russel Terrier,3,Badger Markings,980.25,0,2023-10-18,01/23-2024,Jeremy Stewart
8844,Hulk,Boston Terrier,5,Red Fawn,910.00,1,2023-11-13,02/16-2024,Megan Sanchez
2738,Ripley,Boston Terrier,2,Red Heeler,610.50,1,2023-12-27,03/27-2024,Adam Morris
4445,Angus,Boston Terrier,8,Brindle,540.00,0,2024-01-08,,
2977,Major,Pug,4,Brindle,1020.75,1,2024-02-21,,
1538,Star,Boston Terrier,9,Seal and white,780.00,1,2023-03-15,05/30-2023,Melissa Rogers
7496,Bolt,Irish Setter,1,Solid Liver,700.25,0,2023-04-28,07/25-2023,Keith Reed
2523,Nugget,Corgi,3,Sable,810.00,1,2023-05-04,08/05-2023,Sara Cook
2778,Captain,Corgi,5,White and black,720.50,1,2023-06-19,09/17-2023,Terry Morgan
9608,Willowisp,Corgi,6,Light Wheaten,680.00,0,2023-07-26,10/31-2023,Theresa Bell
6906,Champ,Bull Terrier,8,Tan,560.75,1,2023-08-09,11/14-2023,Dennis Murphy
3521,Spud,Bull Terrier,2,Red and white,730.00,0,2023-09-23,12/28-2023,Laura Bailey
6320,Woolly,Irish Wolfhound,5,Grizzle and white,860.25,1,2023-10-07,01/09-2024,Roger Rivera
3373,Wrinkles,Irish Setter,7,Tan,800.00,1,2023-11-19,02/21-2024,Diana Cooper
9884,Sherlock,Dalmatian,6,Tan and black,650.50,0,2023-12-02,03/03-2024,Judith Richardson
4890,Anubis,Beagle,1,Black and white,710.00,-99,2024-01-17,,
4104,Chewie,Bull Terrier,9,Beige,570.75,0,2024-02-29,,
2625,Drake,Chesapeake Bay Retriever,5,Sedge,740.00,1,2023-03-08,05/12-2023,Randy Cox
4991,Heidi,Pug,3,"Black, Red, White",930.00,0,2023-07-21,10/26-2023,Larry Wood
5393,Dopey,Corgi,6,Primarily White,830.25,0,2023-04-12,06/18-2023,Russell Howard
5771,Slick,Corgi,4,Liver,670.00,1,2023-05-28,08/24-2023,Lori Ward
8279,Bonnie,Irish Setter,7,Tan Points,690.50,1,2023-06-06,09/03-2023,Ann Brooks
1742,Pharaoh,Corgi,1,Red Roan,640.75,1,2023-08-14,11/19-2023,Bonnie James
7690,Wolfie,Irish Wolfhound,-5,Wheaten,1120.00,1,2023-09-27,12/31-2023,Victor Hughes
9367,Fluffy,Border Collie,8,Silver,600.00,0,2023-10-10,01/12-2024,Sara Price
8430,Mop,Whippet,4,White Corded,960.25,1,2023-11-23,02/24-2024,Gerald Bennett
8857,Snowy,Corgi,2,White Fluffy,990.00,-99,2023-12-05,03/06-2024,Lois Barnes
0126,Leo King,Whippet,5,Lion Yellow,1010.50,0,2024-01-20,,
8159,Tut,Whippet,0,Reddish Tan,750.75,1,2024-03-27,,Sven Österberg


The data is computer-generated for educational purposes.
